Query,Expected Article (URL),Match Found,Rank (if found),Top Results (URLs),Top Result Titles
create a multi-language survey,https://help.surveymonkey.com/en/surveymonkey/manage/multilingual-surveys/,True,2.0,https://help.surveymonkey.com/en/getfeedback/builder/multilingual-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/multilingual-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/email-multilingual-surveys/; https://help.surveymonkey.com/en/surveymonkey/account/account-language/; https://help.surveymonkey.com/en/surveymonkey/send/language-code/; https://help.surveymonkey.com/en/getfeedback/builder/survey-languages/; https://help.surveymonkey.com/en/surveymonkey/send/allowing-multiple-responses/; https://help.surveymonkey.com/en/apply/build/form-translations/; https://help.surveymonkey.com/en/surveymonkey/send/saving-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/multiple-choice/,Multilingual Surveys; Multilingual Surveys; Sending Multilingual Surveys by Email Invitation; Changing the Language on Your Account; Language Codes; Survey Languages; Allowing Multiple Responses; How to Add Translations to a Form; Can a survey be saved and finished later?; Multiple Choice Question
what’s the difference between skip logic and branching,https://help.surveymonkey.com/en/surveymonkey/create/logic-options/,True,6.0,https://help.surveymonkey.com/en/surveymonkey/create/skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/question-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/advanced-branching/; https://help.surveymonkey.com/en/surveymonkey/create/troubleshooting-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/page-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/logic-options/; https://help.surveymonkey.com/en/apply/build/branching-logic/; https://help.surveymonkey.com/en/surveymonkey/analyze/respondents-skipping-questions/; https://help.surveymonkey.com/en/surveymonkey/create/disqualifying-respondents/; https://help.surveymonkey.com/en/getfeedback/builder/merge-fields-logic/,Skip Logic; Question Skip Logic; Advanced Branching; Troubleshooting Skip Logic Issues; Page Skip Logic; Logic Features; How to use Advanced Branching Logic to Dynamically Change your Form; Respondents Skipped Required Questions; Disqualifying Respondents; Using Merge Fields in Survey Logic
how do I view survey completion rates,https://help.surveymonkey.com/en/surveymonkey/analyze/viewing-benchmarks/,False,,https://help.surveymonkey.com/en/surveymonkey/create/survey-score/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/; https://help.surveymonkey.com/en/surveymonkey/solutions/response-rate/; https://help.surveymonkey.com/en/surveymonkey/analyze/response-statuses/; https://help.surveymonkey.com/en/surveymonkey/analyze/missing-survey-responses/; https://help.surveymonkey.com/en/surveymonkey/analyze/crosstabs/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/create/quizzes/; https://help.surveymonkey.com/en/surveymonkey/analyze/individual-responses/; https://help.surveymonkey.com/en/surveymonkey/analyze/sharing-survey-results/,Scoring Your Survey; Viewing Your Survey Summary; Response Rate; Survey Response Statuses; Missing Survey Responses; Crosstab Reports; Survey Takers Can’t Complete My Survey; Quizzes; Viewing Individual Responses; Sharing Survey Results
what happens when I upgrade my plan,https://help.surveymonkey.com/en/surveymonkey/billing/upgrading/,True,3.0,https://help.surveymonkey.com/en/getfeedback/account/changing-your-plan/; https://help.surveymonkey.com/en/wufoo/account/your-new-plan/; https://help.surveymonkey.com/en/surveymonkey/billing/upgrading/; https://help.surveymonkey.com/en/surveymonkey/billing/surveymonkey-plans/; https://help.surveymonkey.com/en/surveymonkey/billing/automatic-renewals/; https://help.surveymonkey.com/en/wufoo/account/upgrade-your-plan/; https://help.surveymonkey.com/en/surveymonkey/billing/auto-renew/; https://help.surveymonkey.com/en/surveymonkey/billing/monthly-payment-option/; https://help.surveymonkey.com/en/surveymonkey/billing/discounts/; https://help.surveymonkey.com/en/surveymonkey/account/trying-paid-features/,Changing your Plan; Your New Wufoo Plan; How to Sign Up or Upgrade; SurveyMonkey Plans; Why was I charged again?; How to Sign Up or Upgrade; Auto-Renew; Monthly Payment Option; Discounts; Trying Paid Features
can I add a reward for my survey,https://help.surveymonkey.com/en/surveymonkey/create/adding-rewards/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/create/adding-rewards/; https://help.surveymonkey.com/en/surveymonkey/site/rewards-faq/; https://help.surveymonkey.com/en/surveymonkey/send/custom-thank-you/; https://help.surveymonkey.com/en/surveymonkey/create/survey-branding/; https://help.surveymonkey.com/en/surveymonkey/create/adding-hyperlinks/; https://help.surveymonkey.com/en/surveymonkey/solutions/surveymonkey-contribute/; https://help.surveymonkey.com/en/surveymonkey/create/inserting-additional-text/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/create/adding-logos/; https://help.surveymonkey.com/en/surveymonkey/site/surveymonkey-app-faq/,Can I add a reward to my survey?; SurveyMonkey Rewards FAQs; Adding a Custom Thank You; Branding Your Survey; Adding a Hyperlink; SurveyMonkey Contribute; Inserting Additional Text; Survey Takers Can’t Complete My Survey; Adding or Editing a Logo to Your Survey Design; SurveyMonkey App FAQs
make responses anonymous,https://help.surveymonkey.com/en/surveymonkey/send/anonymous-responses/,False,,https://help.surveymonkey.com/en/surveymonkey/send/tracking-respondents/; https://help.surveymonkey.com/en/getfeedback/account/anonymous-feedback/; https://help.surveymonkey.com/en/surveymonkey/manage/deleting-responses/; https://help.surveymonkey.com/en/surveymonkey/analyze/individual-responses/; https://help.surveymonkey.com/en/surveymonkey/send/ip-tracking/; https://help.surveymonkey.com/en/surveymonkey/teams/enterprise-settings/; https://help.surveymonkey.com/en/surveymonkey/send/allowing-multiple-responses/; https://help.surveymonkey.com/en/surveymonkey/analyze/response-ids/; https://help.surveymonkey.com/en/surveymonkey/send/editing-survey-responses/; https://help.surveymonkey.com/en/surveymonkey/analyze/combining-hiding-answer-choices/,Tracking Respondents; Getting Anonymous Feedback; Clearing or Deleting Responses; Viewing Individual Responses; IP Tracking; Enterprise Settings; Allowing Multiple Responses; Does each respondent get assigned a response ID?; Editing Survey Responses; Combining or Hiding Answer Choices
how to delete a survey,https://help.surveymonkey.com/en/surveymonkey/manage/survey-deletion/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/manage/survey-deletion/; https://help.surveymonkey.com/en/surveymonkey/manage/deleting-responses/; https://help.surveymonkey.com/en/surveymonkey/create/deleting-questions/; https://help.surveymonkey.com/en/surveymonkey/manage/managing-surveys/; https://help.surveymonkey.com/en/surveymonkey/site/surveymonkey-app-faq/; https://help.surveymonkey.com/en/surveymonkey/create/survey-title/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/send/custom-thank-you/; https://help.surveymonkey.com/en/surveymonkey/create/survey-end-page/; https://help.surveymonkey.com/en/getfeedback/builder/turning-surveys-on-off/,Deleting a Survey; Clearing or Deleting Responses; Deleting a Question; Managing Your Surveys; SurveyMonkey App FAQs; Changing the Survey Title; Survey Takers Can’t Complete My Survey; Adding a Custom Thank You; Survey End Page; Turning a Survey On or Off
randomize order of survey questions,https://help.surveymonkey.com/en/surveymonkey/create/question-page-randomization/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/create/question-page-randomization/; https://help.surveymonkey.com/en/surveymonkey/create/randomizing-answers/; https://help.surveymonkey.com/en/wufoo/build/randomize-answers/; https://help.surveymonkey.com/en/surveymonkey/analyze/out-of-order-responses/; https://help.surveymonkey.com/en/surveymonkey/create/ranking-question/; https://help.surveymonkey.com/en/apply/build/ranking-question/; https://help.surveymonkey.com/en/surveymonkey/create/question-size-layout/; https://help.surveymonkey.com/en/surveymonkey/create/page-question-numbering/; https://help.surveymonkey.com/en/surveymonkey/create/one-question-at-a-time/; https://help.surveymonkey.com/en/surveymonkey/create/ab-tests/,"Question & Page Randomization; Sorting, Randomizing, or Flipping Answer Choices; Randomizing Answer Choices; Responses Are Out of Order; Ranking Question; Ranking Question; Changing the Question Size and Layout; Page and Question Numbering; One Question at a Time; A/B Tests (Random Assignment)"
add progress bar to my survey,https://help.surveymonkey.com/en/surveymonkey/create/progress-bar/,False,,https://help.surveymonkey.com/en/getfeedback/channels/web-widgets/; https://help.surveymonkey.com/en/surveymonkey/create/one-question-at-a-time/; https://help.surveymonkey.com/en/getfeedback/channels/email-embed/; https://help.surveymonkey.com/en/surveymonkey/create/running-total/; https://help.surveymonkey.com/en/surveymonkey/create/adding-rewards/; https://help.surveymonkey.com/en/surveymonkey/teams/custom-css/; https://help.surveymonkey.com/en/surveymonkey/create/managing-pages/; https://help.surveymonkey.com/en/getfeedback/channels/web-overlay/; https://help.surveymonkey.com/en/surveymonkey/create/themes/; https://help.surveymonkey.com/en/getfeedback/builder/web-theme/,In-Page Widgets; One Question at a Time; One-touch Surveys; Can I create a question that sums the numbers or shows a running total?; Can I add a reward to my survey?; Use CSS to Style Your Survey; Adding and Managing Pages; Web Overlay Surveys (Modals); Using Themes to Style Surveys; Survey Theme: Website
how to preview survey before sending,https://help.surveymonkey.com/en/surveymonkey/create/previewing-testing/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/create/previewing-testing/; https://help.surveymonkey.com/en/getfeedback/builder/preview-draft-mode/; https://help.surveymonkey.com/en/surveymonkey/send/composing-email-invitations/; https://help.surveymonkey.com/en/surveymonkey/send/answers-already-selected/; https://help.surveymonkey.com/en/surveymonkey/send/confirmation-email/; https://help.surveymonkey.com/en/surveymonkey/analyze/commenting/; https://help.surveymonkey.com/en/surveymonkey/create/forms/; https://help.surveymonkey.com/en/getfeedback/channels/send-to-a-list/; https://help.surveymonkey.com/en/surveymonkey/send/embedding-questions/; https://help.surveymonkey.com/en/surveymonkey/getting-started/sending-your-survey/,"Previewing, Testing, and Reviewing Surveys; Preview and Draft Mode; Composing Email Invitations; Why are answers already selected when I try to take a survey?; Sending Confirmation Emails; Getting Feedback on Surveys and Results; Getting Started with Forms; Email to a List; Embedding Questions in Email Invitations; Ways to Send Your Survey"
